well_id,depth_m,porosity,permeability_mD,density_gcc,water_saturation,oil_saturation,year,lab_id,x_m,y_m,геол_зона
Well_9,1865.7,0.12974,55.68,2.409,0.3455,0.445,2001,Lab_C,1000,3000,Зона_Б
Well_5,2196.7,0.1769,0.87,2.445,0.4018,0.5644,1997,Lab_B,3000,1000,Зона_В
Well_10,2646.7,0.0802,10.31,2.583,0.3987,0.3938,2001,Lab_A,2000,3000,Зона_Б
Well_7,1881.8,0.1118,32.79,2.3,0.3094,0.4225,1995,Lab_B,1500,1500,Зона_А
Well_4,1958.8,0.0734,2.44,2.598,0.3089,0.3985,2001,Lab_A,2000,2000,Зона_Б
Well_6,1573.6,0.064,0.71,2.579,0.4706,0.3982,1995,Lab_B,3000,2000,Зона_В
Well_1,3369.2,0.1249,13.5,2.596,0.3292,0.5617,2002,Lab_B,1000,1000,Зона_А
Well_4,2255.7,0.0502,-22.71,2.607,0.3589,0.4756,1994,Lab_B,2000,2000,Зона_Б
Well_2,2006.0,0.0314,2.54,2.632,0.4842,0.4568,2000,Lab_A,1000,2000,Зона_А
Well_8,1975.0,0.0895,1.38,2.556,0.1912,0.6268,1990,Lab_A,2500,1500,Зона_Б
Well_3,2406.5,0.08,20.18,2.657,0.4714,0.3781,1998,Lab_B,2000,1000,Зона_Б
Well_10,1582.1,0.1531,1.72,2.606,0.4094,0.3159,1992,Lab_A,2000,3000,Зона_Б
Well_8,2371.3,0.0675,0.07,2.596,0.1261,0.4393,2014,Lab_A,2500,1500,Зона_Б
Well_7,1933.6,0.1801,2.07,2.447,0.5192,0.2969,1990,Lab_A,1500,1500,Зона_А
Well_3,2916.4,0.2227,3.15,2.738,0.4466,0.426,2008,Lab_B,2000,1000,Зона_Б
Well_1,2793.7,0.0517,2.54,2.453,0.3361,0.3764,2007,Lab_B,1000,1000,Зона_А
Well_8,1530.6,0.0206,94.63,2.506,0.3803,0.5268,2002,Lab_A,2500,1500,Зона_Б
Well_7,2270.8,0.0618,38.78,2.579,0.0619,0.5969,2009,Lab_B,1500,1500,Зона_А
Well_1,3283.8,0.1743,0.92,2.597,0.4503,0.4002,2010,Lab_B,1000,1000,Зона_А
Well_3,2911.7,0.0387,5.9,2.681,0.1425,0.4371,2016,Lab_B,2000,1000,Зона_Б
Well_3,2863.2,0.0702,6.14,2.432,0.0228,0.8105,2014,Lab_C,2000,1000,Зона_Б
Well_9,2683.8,0.1037,0.68,2.364,0.205,0.3896,2015,Lab_A,1000,3000,Зона_Б
Well_5,1966.5,0.0993199999999999,26.06,2.617,0.1603,0.8007,1994,Lab_C,3000,1000,Зона_В
Well_10,1979.6,0.16068,13.16,2.662,0.1751,0.4636,2010,Lab_C,2000,3000,Зона_Б
Well_1,3062.6,0.12025,0.57,2.646,0.2815,0.6537,2012,Lab_C,1000,1000,Зона_А
Well_10,1776.7,0.0212,0.14,2.595,0.1444,0.8338,2004,Lab_A,2000,3000,Зона_Б
Well_10,1850.7,0.16341,2.78,2.594,0.4932,0.2603,2019,Lab_C,2000,3000,Зона_Б
Well_3,2111.4,0.1269,3.16,374.89,0.5901,0.38,2009,Lab_B,2000,1000,Зона_Б
Well_2,1726.9,0.0685,0.07,2.472,0.3716,0.49,2017,Lab_A,1000,2000,Зона_А
Well_9,1510.4,0.12844,28.02,2.491,0.3079,0.4438,2013,Lab_C,1000,3000,Зона_Б
Well_10,1773.2,0.1093,229.9,2.416,0.3079,0.6679,1992,Lab_A,2000,3000,Зона_Б
Well_9,2322.4,0.13182,127.96,2.565,0.5438,0.1771,2017,Lab_C,1000,3000,Зона_Б
Well_2,1888.8,0.1209,1.32,2.641,0.3512,0.5,2016,Lab_B,1000,2000,Зона_А
Well_4,3330.5,0.1247,0.81,2.631,0.1633,0.7502,2014,Lab_A,2000,2000,Зона_Б
Well_1,3101.9,0.0902,17.99,2.559,0.4184,0.4801,2005,Lab_B,1000,1000,Зона_А
Well_5,2999.8,0.0803,0.83,2.467,0.2462,0.6096,2004,Lab_A,3000,1000,Зона_В
Well_6,1767.7,0.1187,14.57,2.467,0.0828,0.7752,2001,Lab_A,3000,2000,Зона_В
Well_4,2662.6,0.12155,1.23,2.528,0.4973,0.4254,2012,Lab_C,2000,2000,Зона_Б
Well_10,2493.1,0.07306,92.61,2.542,0.3379,0.3413,2005,Lab_C,2000,3000,Зона_Б
Well_1,3194.3,0.15145,27.43,2.569,0.0546,0.6666,2011,Lab_C,1000,1000,Зона_А
Well_6,1615.7,0.0778,1.88,2.396,0.2598,0.6941,1995,Lab_A,3000,2000,Зона_В
Well_8,1595.4,0.0984,3.84,2.515,0.4764,0.3971,2011,Lab_B,2500,1500,Зона_Б
Well_4,2988.1,0.0652,16.83,2.706,0.3972,0.3762,2001,Lab_B,2000,2000,Зона_Б
Well_3,2772.8,0.2205,3.04,2.464,0.7039,0.2518,2007,Lab_A,2000,1000,Зона_Б
Well_4,2853.5,0.1137,3.7,2.539,0.3502,0.3869,1991,Lab_A,2000,2000,Зона_Б
Well_8,2276.5,0.0969,4.37,2.794,0.0858,0.4342,2019,Lab_B,2500,1500,Зона_Б
Well_2,2090.6,0.09659,1.02,2.312,0.0913,0.7163,2013,Lab_C,1000,2000,Зона_А
Well_7,2346.9,0.0647,18.48,2.596,0.1269,0.8498,2007,Lab_B,1500,1500,Зона_А
Well_9,2776.5,0.0817,1.87,2.457,0.2375,0.5443,2013,Lab_B,1000,3000,Зона_Б
Well_1,2637.0,0.0528,1.59,2.626,0.2831,0.6259,2004,Lab_B,1000,1000,Зона_А
Well_1,2047.9,0.26806,51.62,2.635,0.276,0.3995,2012,Lab_C,1000,1000,Зона_А
Well_2,1616.4,0.1448,1.09,2.516,0.2771,0.5767,2002,Lab_A,1000,2000,Зона_А
Well_5,1917.8,0.0422,23.33,2.666,0.0379,0.8281,2010,Lab_A,3000,1000,Зона_В
Well_4,2245.4,0.0177,7.48,2.499,0.3304,0.4291,1999,Lab_B,2000,2000,Зона_Б
Well_4,3417.1,0.0643,2.06,2.624,0.4643,0.2932,2005,Lab_A,2000,2000,Зона_Б
Well_5,1976.5,0.15353,48.13,2.572,0.6065,0.3176,2004,Lab_C,3000,1000,Зона_В
Well_7,2192.6,0.04927,4.06,2.701,0.5641,0.2349,1999,Lab_C,1500,1500,Зона_А
Well_7,1868.7,0.18941,1.99,2.473,0.2704,0.5388,1994,Lab_C,1500,1500,Зона_А
Well_9,1586.8,0.0458,1.12,2.68,0.4506,0.3791,1991,Lab_B,1000,3000,Зона_Б
Well_7,1555.2,0.0565,8.09,2.655,0.1136,0.601,2003,Lab_B,1500,1500,Зона_А
Well_2,2842.3,0.21749,1.24,2.562,0.2404,0.6767,2013,Lab_C,1000,2000,Зона_А
Well_4,2254.5,0.0877,1.85,2.418,0.3744,0.4185,2003,Lab_A,2000,2000,Зона_Б
Well_3,3014.2,0.06721,38.41,2.665,0.1597,0.6388,2005,Lab_C,2000,1000,Зона_Б
Well_7,2460.7,0.0911,10.37,2.588,0.1686,0.6042,1999,Lab_A,1500,1500,Зона_А
Well_8,2001.7,0.0477,1.2,2.531,0.1254,0.8546,2013,Lab_A,2500,1500,Зона_Б
Well_6,2867.9,0.03471,5.29,2.657,0.4132,0.4969,1995,Lab_C,3000,2000,Зона_В
Well_9,1661.7,0.0628,4.08,2.533,0.4777,0.2628,2009,Lab_B,1000,3000,Зона_Б
Well_3,2755.8,0.1951,0.9,2.698,0.6598,0.516,2001,Lab_B,2000,1000,Зона_Б
Well_2,3361.9,0.1033,22.09,2.442,0.4948,0.3381,2010,Lab_A,1000,2000,Зона_А
Well_9,2979.8,0.1152,8.93,2.615,0.192,0.4601,1999,Lab_A,1000,3000,Зона_Б
Well_4,3349.3,0.1682,9.54,2.531,0.1438,0.5625,2016,Lab_B,2000,2000,Зона_Б
Well_1,2002.9,0.13871,2.6,2.587,0.2997,0.3358,2004,Lab_C,1000,1000,Зона_А
Well_6,2008.3,0.0947,26.59,2.628,0.181,0.6133,1993,Lab_A,3000,2000,Зона_В
Well_2,3437.3,0.2112,3.89,2.497,0.0175,0.7654,2019,Lab_B,1000,2000,Зона_А
Well_9,3113.8,0.0911,1.59,2.561,0.0346,0.5878,2013,Lab_A,1000,3000,Зона_Б
Well_1,2591.8,0.1531,203.47,2.693,0.5127,0.408,2018,Lab_A,1000,1000,Зона_А
Well_4,2000.0,0.1287,4.24,2.34,0.0656,0.8307,1995,Lab_C,2000,2000,Зона_Б
Well_3,1817.3,0.1054,38.17,2.859,0.059,0.5071,2002,Lab_B,2000,1000,Зона_Б
Well_8,2220.7,0.0644,10.09,345.28,0.1655,0.7151,1999,Lab_A,2500,1500,Зона_Б
Well_1,2670.3,0.1104,1.02,2.589,0.3637,0.5613,2005,Lab_A,1000,1000,Зона_А
Well_4,2256.0,0.0923,2.36,2.584,0.2147,0.7385,2018,Lab_C,2000,2000,Зона_Б
Well_1,3326.3,0.062,3.8,2.692,0.0913,0.7224,2016,Lab_B,1000,1000,Зона_А
Well_3,1666.6,0.0727,2.08,2.433,0.2266,0.359,2019,Lab_B,2000,1000,Зона_Б
Well_5,1650.9,0.0631,0.73,2.73,0.3635,0.471,2007,Lab_A,3000,1000,Зона_В
Well_4,2007.4,0.1505,4.98,2.648,0.3471,0.4054,1996,Lab_B,2000,2000,Зона_Б
Well_4,3184.0,1.2389,8.87,2.573,0.0526,0.7923,2000,Lab_A,2000,2000,Зона_Б
Well_5,2876.1,0.1328,2.76,2.651,0.3338,0.4873,2015,Lab_B,3000,1000,Зона_В
Well_3,3256.4,0.1001,1.11,2.746,0.134,0.6867,2005,Lab_A,2000,1000,Зона_Б
Well_3,2368.9,0.27196,1.91,2.543,0.1523,0.3668,2008,Lab_C,2000,1000,Зона_Б
Well_7,2173.1,0.1249,2.14,2.567,0.2556,0.2996,1991,Lab_A,1500,1500,Зона_А
Well_2,2657.7,0.0935,1.21,2.452,0.0889,0.4327,2002,Lab_A,1000,2000,Зона_А
Well_3,2893.9,0.1291,6.84,2.48,0.5314,0.3097,2017,Lab_B,2000,1000,Зона_Б
Well_1,2607.4,0.1183,1.33,2.566,0.0887,0.6576,2005,Lab_A,1000,1000,Зона_А
Well_10,2335.9,0.0566,11.89,2.694,0.4267,0.3329,2009,Lab_B,2000,3000,Зона_Б
Well_5,3234.4,0.0954,5.51,2.549,0.4585,0.3962,1991,Lab_B,3000,1000,Зона_В
Well_5,2704.9,0.1379,1.5,2.588,0.639,0.6932,1998,Lab_A,3000,1000,Зона_В
Well_7,1757.0,0.07085,3.83,2.813,0.0465,0.6651,1996,Lab_C,1500,1500,Зона_А
Well_6,1627.0,0.1086,36.22,2.661,0.6722,0.2671,2015,Lab_A,3000,2000,Зона_В
Well_3,3470.6,0.0275,131.54,2.47,0.1741,0.4689,1994,Lab_A,2000,1000,Зона_Б
Well_1,2209.8,0.0449,0.16,2.686,0.334,0.6364,1995,Lab_B,1000,1000,Зона_А
Well_7,3491.9,0.1779,6.17,2.629,0.1387,0.7664,2002,Lab_A,1500,1500,Зона_А
Well_1,2974.1,0.087,31.39,2.658,0.0496,0.8771,2013,Lab_B,1000,1000,Зона_А
Well_8,2605.5,0.0761,6.46,2.395,0.1429,0.5053,1999,Lab_B,2500,1500,Зона_Б
Well_5,2854.3,0.0891,9.31,2.442,0.1212,0.7328,2014,Lab_A,3000,1000,Зона_В
Well_9,1755.4,0.0624,0.18,2.491,0.4134,0.4323,2007,Lab_C,1000,3000,Зона_Б
Well_5,1611.7,0.0262,0.43,2.558,0.3765,0.4205,2009,Lab_B,3000,1000,Зона_В
Well_10,2751.9,0.12402,11.2,2.482,0.104,0.7906,2002,Lab_C,2000,3000,Зона_Б
Well_1,3034.4,0.01586,6.46,2.391,0.2066,0.7137,2013,Lab_C,1000,1000,Зона_А
Well_6,1652.4,0.0270399999999999,2.94,2.533,0.4583,0.4741,2007,Lab_C,3000,2000,Зона_В
Well_5,1577.9,0.064,7.86,2.439,0.3666,0.5606,1995,Lab_B,3000,1000,Зона_В
Well_8,2384.7,0.1257,0.57,2.533,0.2698,0.7062,2014,Lab_A,2500,1500,Зона_Б
Well_4,1663.2,0.1262,3.82,2.544,0.2363,0.3529,1992,Lab_A,2000,2000,Зона_Б
Well_1,2960.1,0.05174,12.69,2.542,0.5994,0.3558,1997,Lab_C,1000,1000,Зона_А
Well_4,1839.4,0.1081599999999999,2.54,2.571,0.1649,0.648,1991,Lab_C,2000,2000,Зона_Б
Well_8,2578.8,0.22308,3.48,2.509,0.6983,0.5261,1991,Lab_C,2500,1500,Зона_Б
Well_3,2568.7,0.1199,69.61,2.358,0.1288,0.8196,2016,Lab_A,2000,1000,Зона_Б
Well_10,1997.4,0.1326,22.75,2.613,0.2196,0.3698,2018,Lab_C,2000,3000,Зона_Б
Well_6,2181.2,0.0565499999999999,116.82,2.498,0.1352,0.7081,2004,Lab_C,3000,2000,Зона_В
Well_6,1793.2,0.1087,4.21,2.599,0.4369,0.4888,2016,Lab_A,3000,2000,Зона_В
Well_9,2455.4,0.1609,0.81,2.567,0.4217,0.481,2015,Lab_A,1000,3000,Зона_Б
Well_10,2367.0,0.16887,14.29,2.305,0.6767,0.5052,2015,Lab_C,2000,3000,Зона_Б
Well_6,2200.4,0.0986,9.26,2.66,0.1858,0.5388,2005,Lab_B,3000,2000,Зона_В
Well_8,2632.1,0.0299,17.53,2.69,0.0277,0.8648,2005,Lab_A,2500,1500,Зона_Б
Well_2,2862.1,0.07865,3.48,2.48,0.2064,0.5078,2000,Lab_C,1000,2000,Зона_А
Well_8,2279.2,0.17537,3.0,2.875,0.6535,0.323,2001,Lab_C,2500,1500,Зона_Б
Well_8,3188.4,0.0821,1.77,2.405,0.1497,0.4664,2016,Lab_A,2500,1500,Зона_Б
Well_5,1601.5,-0.4368,1.62,2.634,0.3171,0.5415,1993,Lab_B,3000,1000,Зона_В
Well_7,2723.0,0.0387,14.53,2.649,0.3539,0.5849,2011,Lab_A,1500,1500,Зона_А
Well_9,2595.9,0.0389,3.03,2.595,0.6257,0.2726,2011,Lab_A,1000,3000,Зона_Б
Well_8,2526.7,0.0313,1.12,2.585,0.417,0.5096,1995,Lab_A,2500,1500,Зона_Б
Well_7,2270.8,0.0618,38.78,2.579,0.0619,0.5969,2009,Lab_B,1500,1500,Зона_А
Well_3,3455.8,0.0751,7.95,2.608,0.4667,0.2644,1996,Lab_A,2000,1000,Зона_Б
Well_1,3155.7,0.1634,2.83,2.497,0.5434,0.3753,2009,Lab_A,1000,1000,Зона_А
Well_10,3026.7,0.0282,16.94,2.672,0.2949,0.6377,2010,Lab_B,2000,3000,Зона_Б
Well_4,2642.9,0.1130999999999999,2.26,2.593,0.3984,0.457,2019,Lab_C,2000,2000,Зона_Б
Well_10,3104.2,0.15119,8.53,2.48,0.3957,0.2747,2010,Lab_C,2000,3000,Зона_Б
Well_2,2156.3,0.23192,19.51,2.632,0.5414,0.448,2006,Lab_C,1000,2000,Зона_А
Well_3,1683.6,0.0679,2.23,2.535,0.0477,0.5427,2013,Lab_B,2000,1000,Зона_Б
Well_9,1665.8,0.17121,92.05,445.03,0.058,0.8325,2000,Lab_C,1000,3000,Зона_Б
Well_9,2885.8,0.0438,2.33,2.636,0.1043,0.6179,2018,Lab_A,1000,3000,Зона_Б
Well_10,2339.6,0.1798,14.83,2.683,0.1472,0.4836,1997,Lab_B,2000,3000,Зона_Б
Well_5,2049.5,0.1256,2.11,2.491,0.2911,0.6946,2002,Lab_B,3000,1000,Зона_В
Well_7,3435.2,0.16107,51.88,2.481,0.3997,0.3889,1990,Lab_C,1500,1500,Зона_А
Well_9,3491.7,0.1111,7.03,2.376,0.3722,0.4421,1992,Lab_A,1000,3000,Зона_Б
Well_7,3406.1,0.12519,2.13,2.548,0.2069,0.3601,1991,Lab_C,1500,1500,Зона_А
Well_8,2322.5,0.05434,2.62,2.492,0.3112,0.2852,2006,Lab_C,2500,1500,Зона_Б
Well_1,2253.5,0.0613,2.1,2.774,0.2813,0.6359,2003,Lab_B,1000,1000,Зона_А
Well_2,1596.1,0.0604,3.13,2.592,0.4765,0.367,1991,Lab_A,1000,2000,Зона_А
Well_2,1766.4,0.17004,2.53,2.61,0.2786,0.4924,1999,Lab_C,1000,2000,Зона_А
Well_7,2021.8,0.0726,21.75,2.466,0.6367,0.2833,2000,Lab_A,1500,1500,Зона_А
Well_1,1683.4,0.27209,3.05,2.678,0.4793,0.1854,2002,Lab_C,1000,1000,Зона_А
Well_9,2429.3,0.1821,6.47,2.754,0.2305,0.5136,1999,Lab_A,1000,3000,Зона_Б
Well_9,3273.2,0.0992,12.28,2.433,0.0258,0.9393,2003,Lab_A,1000,3000,Зона_Б
Well_6,3439.1,0.1053,7.7,2.571,0.3584,0.4251,2012,Lab_C,3000,2000,Зона_В
Well_3,3234.2,0.13728,22.17,2.558,0.6094,0.3303,2010,Lab_C,2000,1000,Зона_Б
Well_4,2662.3,0.0664,5.1,2.558,0.7208,0.5402,2011,Lab_B,2000,2000,Зона_Б
Well_1,2890.8,0.0202,1.84,2.298,0.2048,0.6941,2004,Lab_A,1000,1000,Зона_А
Well_8,2171.3,0.0521,31.86,2.638,0.4184,0.0719,2008,Lab_A,2500,1500,Зона_Б
Well_8,2289.4,0.037,1.24,2.298,0.6587,0.2596,1998,Lab_B,2500,1500,Зона_Б
Well_9,3014.0,0.078,7.61,2.469,0.0783,0.7768,2012,Lab_B,1000,3000,Зона_Б
Well_6,1973.4,0.0649,6.79,2.648,0.2138,0.7812,2010,Lab_B,3000,2000,Зона_В
Well_3,2286.0,0.13286,0.39,2.307,0.1732,0.7115,2018,Lab_C,2000,1000,Зона_Б
Well_3,2012.4,0.1293,24.28,2.57,0.4564,0.4481,2005,Lab_A,2000,1000,Зона_Б
Well_7,2372.7,0.06357,9.68,2.412,0.6265,0.2288,1990,Lab_C,1500,1500,Зона_А
Well_7,3460.7,0.12207,6.1,2.503,0.3786,0.4291,2013,Lab_C,1500,1500,Зона_А
Well_3,2803.0,0.12285,0.9,2.652,0.4593,0.4618,1995,Lab_C,2000,1000,Зона_Б
Well_5,1888.5,0.091,4.52,2.479,0.426,0.2834,2014,Lab_B,3000,1000,Зона_В
Well_3,2160.5,0.2084,13.53,2.433,0.4504,0.4236,2015,Lab_B,2000,1000,Зона_Б
Well_9,1607.0,0.0433,0.46,2.744,0.3589,0.6335,1990,Lab_A,1000,3000,Зона_Б
Well_9,2089.0,0.029,3.33,2.602,0.3368,0.3858,1992,Lab_A,1000,3000,Зона_Б
Well_2,2705.6,0.14339,1.4,2.539,0.1855,0.3941,1995,Lab_C,1000,2000,Зона_А
Well_6,3373.3,0.11024,3.23,2.43,0.1831,0.5663,1994,Lab_C,3000,2000,Зона_В
Well_2,2929.2,0.1534,1.88,2.719,0.0376,0.743,1992,Lab_A,1000,2000,Зона_А
Well_10,2492.1,0.12974,10.25,2.621,0.3242,0.4154,2006,Lab_C,2000,3000,Зона_Б
Well_7,2736.5,0.13481,4.72,2.625,0.2033,0.4998,1995,Lab_C,1500,1500,Зона_А
Well_3,1982.2,0.1158,36.68,2.617,0.1269,0.6277,1992,Lab_B,2000,1000,Зона_Б
Well_8,2036.9,0.1036,6.49,2.397,0.1392,0.2478,2008,Lab_B,2500,1500,Зона_Б
Well_8,2356.6,0.1569,135.14,2.401,0.3474,0.5424,1996,Lab_B,2500,1500,Зона_Б
Well_4,1665.5,0.1371,15.56,2.466,0.5142,0.1851,2006,Lab_A,2000,2000,Зона_Б
Well_2,2297.6,0.1309,0.63,2.642,0.3354,0.4785,2017,Lab_B,1000,2000,Зона_А
Well_10,3177.9,0.0566,5.06,2.659,0.408,0.4542,2006,Lab_B,2000,3000,Зона_Б
Well_3,2268.4,0.0495,13.73,2.706,0.2353,0.5454,1996,Lab_A,2000,1000,Зона_Б
Well_1,2255.5,0.0725,7.92,2.515,0.113,0.7905,1999,Lab_B,1000,1000,Зона_А
Well_9,2844.1,0.1001,0.76,2.604,0.3454,0.499,1995,Lab_C,1000,3000,Зона_Б
Well_7,1913.4,0.1803,1.8,2.604,0.039,0.4974,2018,Lab_B,1500,1500,Зона_А
Well_6,3158.3,0.1044,2.13,2.547,0.3492,0.4479,2010,Lab_B,3000,2000,Зона_В
Well_8,3145.6,0.1217,2.25,2.474,0.3117,0.6513,2018,Lab_A,2500,1500,Зона_Б
Well_8,2859.7,0.249,1.04,2.552,0.6123,0.3736,2008,Lab_A,2500,1500,Зона_Б
Well_6,2917.8,0.1013,6.34,297.24,0.6849,0.5444,1993,Lab_B,3000,2000,Зона_В
Well_3,3381.1,0.0758,3.74,2.475,0.117,0.3025,2001,Lab_B,2000,1000,Зона_Б
Well_1,3387.8,0.2093,1.18,2.321,0.3172,0.5096,2009,Lab_C,1000,1000,Зона_А
Well_9,2814.2,0.1592,0.55,2.7,0.5026,0.3841,1990,Lab_B,1000,3000,Зона_Б
Well_3,2910.2,0.0974,0.61,2.503,0.1175,0.5053,2011,Lab_A,2000,1000,Зона_Б
Well_7,2310.4,0.05161,21.39,2.674,0.4123,0.2371,1993,Lab_C,1500,1500,Зона_А
Well_4,2376.9,0.093,2.4,2.631,0.0219,0.7229,2016,Lab_B,2000,2000,Зона_Б
Well_8,2289.0,0.1048,1.07,2.621,0.261,0.2768,2009,Lab_B,2500,1500,Зона_Б
Well_1,1910.1,0.0871,23.66,2.534,0.143,0.7135,2009,Lab_A,1000,1000,Зона_А
Well_2,2041.9,0.1228,103.23,2.614,0.2442,0.491,2018,Lab_B,1000,2000,Зона_А
Well_6,3260.7,0.15652,1.81,2.454,0.3846,0.3017,1991,Lab_C,3000,2000,Зона_В
Well_6,1640.8,0.1446,15.26,2.48,0.1855,0.5811,2008,Lab_A,3000,2000,Зона_В
Well_4,1577.7,0.0978,3.11,2.642,0.1892,0.6523,1998,Lab_B,2000,2000,Зона_Б
Well_7,1534.3,0.0706,4.36,2.683,0.4919,0.4741,1996,Lab_B,1500,1500,Зона_А
Well_1,3338.4,0.0337,1.88,2.495,0.3404,0.5347,2010,Lab_B,1000,1000,Зона_А
Well_7,2612.0,0.0923,2.15,2.618,0.3339,0.4846,1995,Lab_A,1500,1500,Зона_А
Well_2,2568.7,-0.0714,58.19,2.684,0.5647,0.2789,2019,Lab_A,1000,2000,Зона_А
Well_1,3315.4,0.0777,2.04,2.597,0.2738,0.6733,2004,Lab_A,1000,1000,Зона_А
Well_8,1700.0,0.0616,1.43,2.369,0.2374,0.6867,2012,Lab_A,2500,1500,Зона_Б
Well_9,3463.7,0.2293,65.91,2.609,0.1943,0.6757,1997,Lab_A,1000,3000,Зона_Б
Well_7,2988.4,0.21905,16.21,2.503,0.3734,0.4819,2009,Lab_C,1500,1500,Зона_А
Well_1,2651.8,0.1521,2.85,2.716,0.2935,0.4836,1994,Lab_C,1000,1000,Зона_А
Well_4,2352.2,0.07826,1.75,2.514,0.148,0.392,1996,Lab_C,2000,2000,Зона_Б
Well_1,2300.4,0.0657,11.17,2.516,0.0393,0.7529,1995,Lab_B,1000,1000,Зона_А
Well_9,1564.6,0.077,98.03,2.569,0.2917,0.3448,1991,Lab_A,1000,3000,Зона_Б
Well_5,2644.6,0.0849,20.14,2.561,0.4922,0.3709,1996,Lab_B,3000,1000,Зона_В
