well_id,field,DEPTH,PZ,PS,GK,NGK
Well_45,Berezovskoe,765.9,12.34,25.61,6.983,196.27
Well_45,Berezovskoe,766.0,12.022,27.09,7.11,194.73
Well_45,Berezovskoe,766.1,11.853,28.07,7.168,193.28
Well_45,Berezovskoe,766.2,11.684,29.04,7.227,191.83
Well_45,Berezovskoe,766.3,11.684,28.24,7.148,191.04
Well_45,Berezovskoe,766.4,11.684,27.43,7.069,190.24
Well_45,Berezovskoe,766.5,11.832,27.26,7.107,189.88
Well_45,Berezovskoe,766.6,11.98,27.09,7.145,189.52
Well_45,Berezovskoe,766.7,13.101,27.6,6.934,189.08
Well_45,Berezovskoe,766.8,14.223,28.11,6.724,188.65
Well_45,Berezovskoe,766.9,15.556,27.6,6.508,188.02
Well_45,Berezovskoe,767.0,16.89,27.09,6.292,187.39
Well_45,Berezovskoe,767.1,19.007,25.23,6.002,186.86
Well_45,Berezovskoe,767.2,21.124,23.37,5.713,186.33
Well_45,Berezovskoe,767.3,23.41,21.46,5.665,185.95
Well_45,Berezovskoe,767.4,25.695,19.56,5.617,185.56
Well_45,Berezovskoe,767.5,28.108,18.08,5.391,185.1
Well_45,Berezovskoe,767.6,30.521,16.59,5.164,184.64
Well_45,Berezovskoe,767.7,32.934,15.54,5.055,184.26
Well_45,Berezovskoe,767.8,35.347,14.48,4.946,183.87
Well_45,Berezovskoe,767.9,36.808,13.67,5.05,183.29
Well_45,Berezovskoe,768.0,38.268,12.87,5.154,182.71
Well_45,Berezovskoe,768.1,37.972,12.32,5.319,183.22
Well_45,Berezovskoe,768.2,37.675,11.77,5.484,183.73
Well_45,Berezovskoe,768.3,37.062,11.56,5.586,185.22
Well_45,Berezovskoe,768.4,36.448,11.35,5.688,186.72
Well_45,Berezovskoe,768.5,36.088,11.47,5.523,186.4
Well_45,Berezovskoe,768.6,35.728,11.6,5.357,186.09
Well_45,Berezovskoe,768.7,35.474,11.9,5.464,186.96
Well_45,Berezovskoe,768.8,35.22,12.19,5.571,187.83
Well_45,Berezovskoe,768.9,34.945,12.78,5.477,188.53
Well_45,Berezovskoe,769.0,34.67,13.38,5.383,189.23
Well_45,Berezovskoe,769.1,33.802,14.52,5.474,188.48
Well_45,Berezovskoe,769.2,32.934,15.66,5.566,187.73
Well_45,Berezovskoe,769.3,31.198,16.89,5.748,188.72
Well_45,Berezovskoe,769.4,29.463,18.12,5.931,189.71
Well_45,Berezovskoe,769.5,27.812,19.73,6.061,188.6
Well_45,Berezovskoe,769.6,26.161,21.33,6.19,187.49
Well_45,Berezovskoe,769.7,24.235,23.41,6.312,188.77
Well_45,Berezovskoe,769.8,22.309,25.48,6.434,190.05
Well_45,Berezovskoe,769.9,20.616,27.73,6.559,191.42
Well_45,Berezovskoe,770.0,18.922,29.97,6.683,192.8
Well_45,Berezovskoe,770.1,17.334,32.43,6.711,193.98
Well_45,Berezovskoe,770.2,15.747,34.88,6.739,195.16
Well_45,Berezovskoe,770.3,14.795,37.55,6.795,195.72
Well_45,Berezovskoe,770.4,13.842,40.22,6.851,196.27
Well_45,Berezovskoe,770.5,13.462,42.12,6.795,195.4
Well_45,Berezovskoe,770.6,13.081,44.03,6.739,194.54
Well_45,Berezovskoe,770.7,12.932,42.37,6.795,195.43
Well_45,Berezovskoe,770.8,12.784,40.72,6.851,196.32
Well_45,Berezovskoe,770.9,12.679,37.55,6.811,194.85
Well_45,Berezovskoe,771.0,12.573,34.37,6.77,193.38
Well_45,Berezovskoe,771.1,12.107,32.34,6.816,194.41
Well_45,Berezovskoe,771.2,11.641,30.31,6.861,195.45
Well_45,Berezovskoe,771.3,11.938,29.38,6.419,196.37
Well_45,Berezovskoe,771.4,12.234,28.45,5.977,197.29
Well_45,Berezovskoe,771.5,11.578,28.66,6.048,196.15
Well_45,Berezovskoe,771.6,10.922,28.87,6.119,195.02
Well_45,Berezovskoe,771.7,10.16,29.67,6.277,192.97
Well_45,Berezovskoe,771.8,9.398,30.48,6.434,190.92
Well_45,Berezovskoe,771.9,8.763,30.78,6.53,189.32
Well_45,Berezovskoe,772.0,8.128,31.07,6.627,187.73
Well_45,Berezovskoe,772.1,7.43,28.62,6.554,186.33
Well_45,Berezovskoe,772.2,6.731,26.16,6.48,184.93
Well_45,Berezovskoe,772.3,5.969,24.85,6.609,183.85
Well_45,Berezovskoe,772.4,5.207,23.54,6.739,182.76
Well_45,Berezovskoe,772.5,5.249,22.22,6.924,181.94
Well_45,Berezovskoe,772.6,5.291,20.91,7.11,181.12
Well_45,Berezovskoe,772.7,5.143,18.37,7.247,181.0
Well_45,Berezovskoe,772.8,4.995,15.83,7.384,180.88
Well_45,Berezovskoe,772.9,4.868,14.14,7.382,181.36
Well_45,Berezovskoe,773.0,4.741,12.45,7.379,181.85
Well_45,Berezovskoe,773.1,4.72,11.9,7.643,182.11
Well_45,Berezovskoe,773.2,4.699,11.35,7.907,182.38
Well_45,Berezovskoe,773.3,4.72,11.3,8.227,180.13
Well_45,Berezovskoe,773.4,4.741,11.26,131.66,177.89
Well_45,Berezovskoe,773.5,4.741,13.42,8.842,178.15
Well_45,Berezovskoe,773.6,4.741,15.58,9.138,178.42
Well_45,Berezovskoe,773.7,4.741,17.19,9.453,178.03
Well_45,Berezovskoe,773.8,4.741,18.8,9.768,177.65
Well_45,Berezovskoe,773.9,4.741,20.95,10.022,178.64
Well_45,Berezovskoe,774.0,4.741,23.11,10.276,179.63
Well_45,Berezovskoe,774.1,4.614,25.48,10.514,180.49
Well_45,Berezovskoe,774.2,4.487,27.85,10.753,181.36
Well_45,Berezovskoe,774.3,4.509,29.34,10.865,180.76
Well_45,Berezovskoe,774.4,4.53,30.82,10.977,180.16
Well_45,Berezovskoe,774.5,4.445,32.21,10.906,181.17
Well_45,Berezovskoe,774.6,4.36,33.61,10.834,182.18
Well_45,Berezovskoe,774.7,4.254,34.63,10.925,179.6
Well_45,Berezovskoe,774.8,4.149,35.64,11.017,177.02
Well_45,Berezovskoe,774.9,4.064,34.84,10.941,177.67
Well_45,Berezovskoe,775.0,3.979,34.03,10.865,178.32
Well_45,Berezovskoe,775.1,3.895,33.27,11.007,180.06
Well_45,Berezovskoe,775.2,3.81,32.51,11.149,181.8
Well_45,Berezovskoe,775.3,3.747,32.93,11.393,184.88
Well_45,Berezovskoe,775.4,3.683,33.36,11.637,187.97
Well_45,Berezovskoe,775.5,3.62,34.29,11.809,186.91
Well_45,Berezovskoe,775.6,3.556,35.22,11.982,185.85
Well_45,Berezovskoe,775.7,3.513,36.36,11.703,186.36
Well_45,Berezovskoe,775.8,3.471,37.51,11.423,186.86
Well_45,Berezovskoe,775.9,3.45,33.27,11.246,187.85
Well_45,Berezovskoe,776.0,3.429,29.04,11.068,188.84
Well_45,Berezovskoe,776.1,3.386,28.19,11.17,187.71
Well_45,Berezovskoe,776.2,3.344,27.34,11.271,186.57
Well_45,Berezovskoe,776.3,3.302,28.7,11.469,185.25
Well_45,Berezovskoe,776.4,3.26,30.06,11.667,183.92
Well_45,Berezovskoe,776.5,3.302,30.99,11.946,184.4
Well_45,Berezovskoe,776.6,3.344,31.92,12.226,184.88
Well_45,Berezovskoe,776.7,3.366,32.05,12.129,185.66
Well_45,Berezovskoe,776.8,3.387,32.17,12.033,186.43
Well_45,Berezovskoe,776.9,3.429,31.11,11.946,184.93
Well_45,Berezovskoe,777.0,3.471,30.06,11.86,183.44
Well_45,Berezovskoe,777.1,3.45,29.59,12.038,182.3
Well_45,Berezovskoe,777.2,3.429,29.12,12.216,181.17
Well_45,Berezovskoe,777.3,3.45,29.76,12.536,180.9
Well_45,Berezovskoe,777.4,3.471,30.39,12.856,180.64
Well_45,Berezovskoe,777.5,3.513,30.44,13.166,182.64
Well_45,Berezovskoe,777.6,3.556,30.48,13.476,184.64
Well_45,Berezovskoe,777.7,3.62,29.51,13.821,186.04
Well_45,Berezovskoe,777.8,3.683,28.53,14.166,187.44
Well_45,Berezovskoe,777.9,3.704,27.47,14.385,186.31
Well_45,Berezovskoe,778.0,3.725,26.42,14.603,185.17
Well_45,Berezovskoe,778.1,3.767,25.7,14.517,185.97
Well_45,Berezovskoe,778.2,3.81,24.98,14.43,186.77
Well_45,Berezovskoe,778.3,3.873,25.48,14.796,187.76
Well_45,Berezovskoe,778.4,3.937,25.99,15.162,188.74
Well_45,Berezovskoe,778.5,3.937,26.54,15.116,187.92
Well_45,Berezovskoe,778.6,3.937,27.09,15.07,187.1
Well_45,Berezovskoe,778.7,4.001,27.18,15.177,186.02
Well_45,Berezovskoe,778.8,4.064,27.26,15.284,184.93
Well_45,Berezovskoe,778.9,4.043,26.58,15.487,186.02
Well_45,Berezovskoe,779.0,4.022,25.91,15.69,187.1
Well_45,Berezovskoe,779.1,3.958,26.08,15.842,186.74
Well_45,Berezovskoe,779.2,3.895,26.25,15.995,186.38
Well_45,Berezovskoe,779.3,3.852,26.88,15.772,187.35
Well_45,Berezovskoe,779.4,3.81,27.52,15.548,188.31
Well_45,Berezovskoe,779.5,3.81,28.24,15.889,187.9
Well_45,Berezovskoe,779.6,3.81,28.95,16.229,187.49
Well_45,Berezovskoe,779.7,3.831,29.08,16.097,188.5
Well_45,Berezovskoe,779.8,3.852,29.21,15.964,189.52
Well_45,Berezovskoe,779.9,3.937,27.26,16.02,190.17
Well_45,Berezovskoe,780.0,4.022,25.31,16.076,190.82
Well_45,Berezovskoe,780.1,4.106,23.79,15.7,189.11
Well_45,Berezovskoe,780.2,4.191,22.27,15.324,187.39
Well_45,Berezovskoe,780.3,4.381,22.14,186.81,188.19
Well_45,Berezovskoe,780.4,4.572,22.01,14.573,188.99
Well_45,Berezovskoe,780.5,4.741,22.82,14.227,190.77
Well_45,Berezovskoe,780.6,4.91,23.62,13.882,192.56
Well_45,Berezovskoe,780.7,4.783,23.79,13.658,191.52
Well_45,Berezovskoe,780.8,4.656,23.96,13.435,190.48
Well_45,Berezovskoe,780.9,4.276,23.75,13.455,191.16
Well_45,Berezovskoe,781.0,3.895,23.54,13.476,191.83
Well_45,Berezovskoe,781.1,3.98,24.72,13.018,192.56
Well_45,Berezovskoe,781.2,4.064,25.91,12.561,193.28
Well_45,Berezovskoe,781.3,4.254,26.67,12.191,192.49
Well_45,Berezovskoe,781.4,4.445,27.43,11.82,191.69
Well_45,Berezovskoe,781.5,4.488,26.84,11.424,189.61
Well_45,Berezovskoe,781.6,4.53,26.25,11.027,187.54
Well_45,Berezovskoe,781.7,4.424,25.36,11.078,187.73
Well_45,Berezovskoe,781.8,4.318,24.47,11.129,187.93
Well_45,Berezovskoe,781.9,4.382,23.96,10.91,186.82
Well_45,Berezovskoe,782.0,4.445,23.45,10.692,185.71
Well_45,Berezovskoe,782.1,4.847,23.92,10.408,186.28
Well_45,Berezovskoe,782.2,5.249,24.38,10.123,186.86
Well_45,Berezovskoe,782.3,5.841,25.36,9.925,187.97
Well_45,Berezovskoe,782.4,6.434,26.33,9.727,189.08
Well_45,Berezovskoe,782.5,7.005,26.42,9.839,188.02
Well_45,Berezovskoe,782.6,7.577,26.5,9.95,186.96
Well_45,Berezovskoe,782.7,8.17,25.82,9.798,187.59
Well_45,Berezovskoe,782.8,8.763,25.15,9.646,188.21
Well_45,Berezovskoe,782.9,9.271,25.36,9.493,189.3
Well_45,Berezovskoe,783.0,9.779,25.57,9.341,190.39
Well_45,Berezovskoe,783.1,10.351,25.02,9.483,191.52
Well_45,Berezovskoe,783.2,10.922,24.47,9.625,192.65
Well_45,Berezovskoe,783.3,11.578,24.55,9.554,193.79
Well_45,Berezovskoe,783.4,12.234,24.64,9.483,194.92
Well_45,Berezovskoe,783.5,12.445,25.27,9.326,195.57
Well_45,Berezovskoe,783.6,12.657,25.91,9.168,196.22
Well_45,Berezovskoe,783.7,11.323,27.05,9.26,193.81
Well_45,Berezovskoe,783.8,9.99,28.19,9.351,191.4
Well_45,Berezovskoe,783.9,9.08,29.34,9.224,189.11
Well_45,Berezovskoe,784.0,8.17,30.48,9.097,186.82
Well_45,Berezovskoe,784.1,7.535,31.71,8.95,184.72
Well_45,Berezovskoe,784.2,6.9,32.93,8.803,182.62
Well_45,Berezovskoe,784.3,6.837,33.4,8.752,181.65
Well_45,Berezovskoe,784.4,6.773,33.87,8.701,180.69
Well_45,Berezovskoe,784.5,6.9,33.02,8.802,181.02
Well_45,Berezovskoe,784.6,7.027,32.17,8.904,181.36
Well_45,Berezovskoe,784.7,7.26,30.69,8.981,181.1
Well_45,Berezovskoe,784.8,7.493,29.21,9.057,180.83
Well_45,Berezovskoe,784.9,7.451,28.49,9.113,180.06
Well_45,Berezovskoe,785.0,7.408,27.77,9.168,179.29
Well_45,Berezovskoe,785.1,7.048,28.07,9.179,180.06
Well_45,Berezovskoe,785.2,6.688,28.36,9.189,180.83
Well_45,Berezovskoe,785.3,6.35,27.47,9.285,183.68
Well_45,Berezovskoe,785.4,6.011,26.58,9.382,186.52
Well_45,Berezovskoe,785.5,5.842,27.52,9.468,186.16
Well_45,Berezovskoe,785.6,5.672,28.45,9.554,185.8
Well_45,Berezovskoe,785.7,5.948,30.27,9.528,187.85
Well_45,Berezovskoe,785.8,6.223,32.09,9.503,189.9
Well_45,Berezovskoe,785.9,5.609,31.37,9.468,191.21
Well_45,Berezovskoe,786.0,4.995,30.65,9.432,192.51
Well_45,Berezovskoe,786.1,4.55,29.72,9.396,189.11
Well_45,Berezovskoe,786.2,4.106,28.79,9.361,185.71
Well_45,Berezovskoe,786.3,4.402,29.29,9.356,185.03
Well_45,Berezovskoe,786.4,4.699,29.8,9.351,184.35
Well_45,Berezovskoe,786.5,5.059,28.66,9.397,186.36
Well_45,Berezovskoe,786.6,5.418,27.52,9.443,188.36
Well_45,Berezovskoe,786.7,5.651,27.3,9.656,189.83
Well_45,Berezovskoe,786.8,5.884,27.09,9.869,191.3
Well_45,Berezovskoe,786.9,5.948,28.28,9.895,190.27
Well_45,Berezovskoe,787.0,6.011,29.46,9.92,189.23
Well_45,Berezovskoe,787.1,5.863,29.76,9.971,187.51
Well_45,Berezovskoe,787.2,5.715,30.06,10.022,185.8
Well_45,Berezovskoe,787.3,5.525,29.29,10.149,186.82
Well_45,Berezovskoe,787.4,5.334,28.53,10.276,187.83
Well_45,Berezovskoe,787.5,5.165,28.15,10.246,188.99
Well_45,Berezovskoe,787.6,4.995,27.77,10.215,190.14
Well_45,Berezovskoe,787.7,4.847,28.36,10.383,190.82
Well_45,Berezovskoe,787.8,4.699,28.95,10.55,191.5
Well_45,Berezovskoe,787.9,4.593,28.32,10.392,191.06
Well_45,Berezovskoe,788.0,4.487,27.68,10.235,190.63
Well_45,Berezovskoe,788.1,4.55,28.02,10.139,189.71
Well_45,Berezovskoe,788.2,4.614,28.36,10.042,188.79
Well_45,Berezovskoe,788.3,4.826,29.34,10.082,187.8
Well_45,Berezovskoe,788.4,5.037,30.31,10.123,186.82
Well_45,Berezovskoe,788.5,5.313,31.16,9.763,188.31
Well_45,Berezovskoe,788.6,5.588,32.0,9.402,189.81
Well_45,Berezovskoe,788.7,5.799,32.43,9.25,189.47
Well_45,Berezovskoe,788.8,6.011,32.85,9.097,189.13
Well_45,Berezovskoe,788.9,5.863,32.85,9.245,188.58
Well_45,Berezovskoe,789.0,5.715,32.85,9.392,188.02
Well_45,Berezovskoe,789.1,5.101,32.93,120.87,189.23
Well_45,Berezovskoe,789.2,4.487,33.02,9.138,190.43
Well_45,Berezovskoe,789.3,4.233,33.27,8.96,191.62
Well_45,Berezovskoe,789.4,3.979,33.53,8.782,192.8
Well_45,Berezovskoe,789.5,4.318,33.99,8.944,193.86
Well_45,Berezovskoe,789.6,4.656,34.46,9.107,194.92
Well_45,Berezovskoe,789.7,5.884,35.05,9.041,194.58
Well_45,Berezovskoe,789.8,7.112,35.64,8.975,194.25
Well_45,Berezovskoe,789.9,8.001,36.24,8.868,195.04
Well_45,Berezovskoe,790.0,8.89,36.83,8.762,195.84
Well_45,Berezovskoe,790.1,9.462,37.17,8.681,195.02
Well_45,Berezovskoe,790.2,10.033,37.51,8.599,194.2
Well_45,Berezovskoe,790.3,10.435,36.79,8.807,194.85
Well_45,Berezovskoe,790.4,10.837,36.07,9.016,195.5
Well_45,Berezovskoe,790.5,11.472,34.25,9.174,196.76
Well_45,Berezovskoe,790.6,12.107,32.43,9.331,198.01
Well_45,Berezovskoe,790.7,11.26,32.21,9.3,199.26
Well_45,Berezovskoe,790.8,10.414,32.0,9.27,200.52
Well_45,Berezovskoe,790.9,9.525,32.64,9.529,201.63
Well_45,Berezovskoe,791.0,8.636,33.27,9.788,202.74
Well_45,Berezovskoe,791.1,8.106,34.25,10.113,201.44
Well_45,Berezovskoe,791.2,7.577,35.22,10.438,200.13
Well_45,Berezovskoe,791.3,7.091,35.73,10.778,197.55
Well_45,Berezovskoe,791.4,6.604,36.24,11.119,194.97
Well_45,Berezovskoe,791.5,6.328,34.16,11.413,192.2
Well_45,Berezovskoe,791.6,6.053,32.09,11.708,189.42
Well_45,Berezovskoe,791.7,5.926,30.99,12.272,187.73
Well_45,Berezovskoe,791.8,5.799,29.89,12.836,186.04
Well_45,Berezovskoe,791.9,5.735,29.29,12.704,185.83
Well_45,Berezovskoe,792.0,5.672,28.7,12.571,185.61
Well_45,Berezovskoe,792.1,5.63,28.45,12.632,187.35
Well_45,Berezovskoe,792.2,5.588,28.19,12.693,189.08
Well_45,Berezovskoe,792.3,5.63,28.15,12.754,188.5
Well_45,Berezovskoe,792.4,5.672,28.11,12.815,187.93
Well_45,Berezovskoe,792.5,5.778,28.19,12.612,187.1
Well_45,Berezovskoe,792.6,5.884,28.28,12.409,186.28
Well_45,Berezovskoe,792.7,5.99,28.57,12.104,185.51
Well_45,Berezovskoe,792.8,6.096,28.87,11.799,184.74
Well_45,Berezovskoe,792.9,5.863,29.29,11.428,184.21
Well_45,Berezovskoe,793.0,5.63,29.72,11.058,183.68
Well_45,Berezovskoe,793.1,5.376,30.27,10.722,184.02
Well_45,Berezovskoe,793.2,5.122,30.82,10.387,184.35
Well_45,Berezovskoe,793.3,5.059,31.07,10.041,184.76
Well_45,Berezovskoe,793.4,4.995,31.33,9.695,185.17
Well_45,Berezovskoe,793.5,5.101,30.73,9.401,185.34
Well_45,Berezovskoe,793.6,5.207,30.14,9.107,185.51
Well_45,Berezovskoe,793.7,5.398,29.25,9.033,183.46
Well_45,Berezovskoe,793.8,5.588,28.36,8.959,181.41
Well_45,Berezovskoe,793.9,5.82,28.15,9.05,180.28
Well_45,Berezovskoe,794.0,6.053,27.94,9.142,179.14
Well_45,Berezovskoe,794.1,6.159,28.53,9.05,178.42
Well_45,Berezovskoe,794.2,6.265,29.12,8.959,177.7
Well_45,Berezovskoe,794.3,6.222,30.18,9.012,177.86
Well_45,Berezovskoe,794.4,6.18,31.24,9.065,178.03
Well_45,Berezovskoe,794.5,5.948,32.21,9.095,178.8
Well_45,Berezovskoe,794.6,5.715,33.19,9.126,179.58
Well_45,Berezovskoe,794.7,5.398,34.16,9.057,180.4
Well_45,Berezovskoe,794.8,5.08,35.13,8.989,181.22
Well_45,Berezovskoe,794.9,5.143,35.73,8.992,182.06
Well_45,Berezovskoe,795.0,5.207,36.32,8.994,182.91
Well_45,Berezovskoe,795.1,5.588,33.53,8.862,182.42
Well_45,Berezovskoe,795.2,5.969,30.73,8.73,181.94
Well_45,Berezovskoe,795.3,6.392,29.8,8.598,180.61
Well_45,Berezovskoe,795.4,6.815,28.87,8.466,179.29
Well_45,Berezovskoe,795.5,6.667,30.06,8.425,178.06
Well_45,Berezovskoe,795.6,6.519,31.24,8.385,176.83
Well_45,Berezovskoe,795.7,6.71,32.51,8.497,176.37
Well_45,Berezovskoe,795.8,6.9,33.78,8.608,175.91
Well_45,Berezovskoe,795.9,7.069,34.12,8.709,178.32
Well_45,Berezovskoe,796.0,7.239,34.46,8.811,180.74
Well_45,Berezovskoe,796.1,6.773,34.03,8.745,181.7
Well_45,Berezovskoe,796.2,6.307,33.61,8.679,182.66
Well_45,Berezovskoe,796.3,6.624,32.68,8.654,182.38
Well_45,Berezovskoe,796.4,6.942,31.75,8.629,182.09
Well_45,Berezovskoe,796.5,6.794,30.56,8.514,182.52
Well_45,Berezovskoe,796.6,6.646,29.38,8.4,182.96
Well_45,Berezovskoe,796.7,6.816,28.91,8.268,183.56
Well_45,Berezovskoe,796.8,6.985,28.45,8.136,184.16
Well_45,Berezovskoe,796.9,7.069,28.28,8.011,184.6
Well_45,Berezovskoe,797.0,7.154,28.11,7.887,185.03
Well_45,Berezovskoe,797.1,7.111,28.07,7.783,183.39
Well_45,Berezovskoe,797.2,7.069,28.02,7.679,181.75
Well_45,Berezovskoe,797.3,8.191,28.79,7.585,182.5
Well_45,Berezovskoe,797.4,9.313,29.55,7.491,183.24
Well_45,Berezovskoe,797.5,10.858,30.52,7.539,183.75
Well_45,Berezovskoe,797.6,12.403,31.5,7.587,184.26
Well_45,Berezovskoe,797.7,13.609,32.21,7.679,183.68
Well_45,Berezovskoe,797.8,14.816,32.93,7.77,183.1
Well_45,Berezovskoe,797.9,15.176,32.51,7.859,184.84
Well_45,Berezovskoe,798.0,15.536,32.09,7.948,186.57
Well_45,Berezovskoe,798.1,15.536,31.37,7.993,187.71
Well_45,Berezovskoe,798.2,15.536,30.65,8.039,188.84
Well_45,Berezovskoe,798.3,15.557,30.06,7.918,188.48
Well_45,Berezovskoe,798.4,15.578,29.46,7.796,188.12
Well_45,Berezovskoe,798.5,16.107,29.59,7.755,187.3
Well_45,Berezovskoe,798.6,16.636,29.72,7.714,186.48
Well_45,Berezovskoe,798.7,16.848,30.39,7.849,185.99
Well_45,Berezovskoe,798.8,17.06,31.07,7.983,185.51
Well_45,Berezovskoe,798.9,18.33,30.78,8.121,184.21
Well_45,Berezovskoe,799.0,19.6,30.48,8.258,182.91
Well_45,Berezovskoe,799.1,20.827,29.8,8.227,181.46
Well_45,Berezovskoe,799.2,22.055,29.12,8.197,180.01
Well_45,Berezovskoe,799.3,22.753,28.4,8.319,178.47
Well_45,Berezovskoe,799.4,23.452,27.68,8.441,176.92
Well_45,Berezovskoe,799.5,23.515,27.43,8.406,177.24
Well_45,Berezovskoe,799.6,23.579,27.18,8.37,177.55
Well_45,Berezovskoe,799.7,21.441,26.92,8.543,176.63
Well_45,Berezovskoe,799.8,19.303,26.67,8.715,175.72
Well_45,Berezovskoe,799.9,15.324,27.68,8.677,176.59
Well_45,Berezovskoe,800.0,11.345,28.7,8.639,177.45
Well_45,Berezovskoe,800.1,9.546,29.55,8.771,178.71
Well_45,Berezovskoe,800.2,7.747,30.39,8.903,179.96
Well_45,Berezovskoe,800.3,7.578,31.75,8.821,181.1
Well_45,Berezovskoe,800.4,7.408,33.1,8.74,182.23
Well_45,Berezovskoe,800.5,7.217,33.53,8.549,180.18
Well_45,Berezovskoe,800.6,7.027,33.95,8.359,178.13
Well_45,Berezovskoe,800.7,6.794,33.06,8.456,178.35
Well_45,Berezovskoe,800.8,6.561,32.17,8.552,178.56
Well_45,Berezovskoe,800.9,6.18,32.81,8.784,180.08
Well_45,Berezovskoe,801.0,5.799,33.44,9.015,181.6
Well_45,Berezovskoe,801.1,5.207,34.5,97.11,182.93
Well_45,Berezovskoe,801.2,4.614,35.56,8.949,184.26
Well_45,Berezovskoe,801.3,4.741,36.36,8.769,183.44
Well_45,Berezovskoe,801.4,4.868,37.17,8.588,182.62
Well_45,Berezovskoe,801.5,5.016,36.7,8.601,184.14
Well_45,Berezovskoe,801.6,5.164,36.24,8.613,185.66
Well_45,Berezovskoe,801.7,5.037,35.26,8.438,184.79
Well_45,Berezovskoe,801.8,4.91,34.29,8.263,183.92
Well_45,Berezovskoe,801.9,5.418,33.57,8.407,185.46
Well_45,Berezovskoe,802.0,5.926,32.85,8.552,187.01
Well_45,Berezovskoe,802.1,6.265,32.68,8.646,187.61
